index,artist,artist_id,name,id,url,album_name,album_id,release_date,duration_ms,explicit,popularity,added_at
15,Karthik,0LSPREIgGMZXCuKVel7LVD,Choododhu,1QtFtMgfd7brff3mAGuWg8,https://open.spotify.com/track/1QtFtMgfd7brff3mAGuWg8,Pokiri,4CO4EDT6CLK1TC6n4yJNUX,2006-04-08,302413,False,58,2025-09-20T12:05:23Z
16,Sukhwinder Singh,19MVxKZZdPj2X0F8pi0OCT,Rama Chakkanodamma,2OEtaEIL01TgCna7qfaxXh,https://open.spotify.com/track/2OEtaEIL01TgCna7qfaxXh,Rajakumarudu,6PRr08jyfxlpdnW9kNV8Co,1999,338141,False,51,2025-09-20T12:05:22Z
17,Hariharan,2NoJ7NuNs9nyj8Thoh1kbu,Neelo Jarige,1uHbPQSFmkEFZRVdJAl8Mp,https://open.spotify.com/track/1uHbPQSFmkEFZRVdJAl8Mp,Balu,4NK8IntrUbxtrNfKkJJEPh,2004-11-30,355046,False,57,2025-09-20T12:05:21Z
18,Karthik,0LSPREIgGMZXCuKVel7LVD,Maha Muddu,63cdUH7934Y3Glreb3uSzE,https://open.spotify.com/track/63cdUH7934Y3Glreb3uSzE,Jai Chiranjeeva,6uV1evSlrDgDHcPruEUR4O,2005-11-12,305466,False,55,2025-09-20T12:05:19Z
19,Bo Burnham,2Waw2sSbqvAwK8NwACNjVo,Bezos I,0Kdj7nwaYQmvhxnqZaIQuW,https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW,Inside (The Songs),1e5OlE0EY5fucq6GIU1xi3,2021-06-10,58149,True,0,2025-09-20T12:05:03Z
20,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Burn,2GgxS8bUT5G25QJTsfSv0R,https://open.spotify.com/track/2GgxS8bUT5G25QJTsfSv0R,Halcyon Days,2Dw4fYqDQnxsgoXDdMbqh3,2014-01-01,231211,False,63,2025-09-20T12:04:54Z
21,Sia,5WUlDfRSoLAfcVSX1WnrxN,The Greatest (feat. Kendrick Lamar),7xHWNBFm6ObGEQPaUxHuKO,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,This Is Acting (Deluxe Version),2eV6DIPDnGl1idcjww6xyX,2016-10-21,210226,False,65,2025-09-20T12:04:52Z
22,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,Warrior,7nCBOm2WiTUPAx3TeG2rZA,https://open.spotify.com/track/7nCBOm2WiTUPAx3TeG2rZA,Demi,6Kssm2LosQ0WyLukFZkEG5,2013-01-01,231173,False,53,2025-09-20T12:04:51Z
23,Joel Adams,36jaGQtMj5UWD0eO1fCVdD,Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,2SF8Wbc61u8hlQkZYGVCnx,2015-11-06,210580,False,63,2025-09-20T12:04:49Z
24,gnash,3iri9nBFs9e4wN7PLIetAw,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,us,3L0H4RjVXpEkwfDgi3XOdf,2016-03-25,251033,True,73,2025-09-20T12:04:47Z
